zip	year	np	pa	ph	panp	pop	change_ph	change_panp	change_pop
84338	1998	0	0	0	0	450	0	0	0
84701	1998	2	2	4	4	8400	0	0	0
84526	1998	0	0	0	0	3901	0	0	0
84525	1998	0	0	0	0	917	0	0	0
84522	1998	0	0	0	0	0	0	0	0
84523	1998	1	0	1	1	2339	0	0	0
84520	1998	1	1	0	2	1628	0	0	0
84521	1998	0	0	0	0	0	0	0	0
84148	1998	20	5	35	25	0	0	0	0
84528	1998	0	0	0	0	7147	0	0	0
84529	1998	0	0	0	0	0	0	0	0
84201	1998	0	0	1	0	0	0	0	0
84119	1998	11	5	28	16	38582	0	0	0
84118	1998	4	6	10	10	55926	0	0	0
84117	1998	10	1	28	11	22181	0	0	0
84116	1998	3	1	4	4	23376	0	0	0
84115	1998	10	1	10	11	21427	0	0	0
84114	1998	1	0	3	1	0	0	0	0
84113	1998	29	2	59	31	1189	0	0	0
84112	1998	12	0	21	12	29	0	0	0
84111	1998	11	2	14	13	8263	0	0	0
84110	1998	1	0	1	1	0	0	0	0
84742	1998	0	0	0	0	0	0	0	0
84743	1998	0	0	0	0	825	0	0	0
84740	1998	0	0	0	0	0	0	0	0
84741	1998	1	0	1	1	3955	0	0	0
84746	1998	0	0	0	0	0	0	0	0
84747	1998	0	0	0	0	987	0	0	0
84744	1998	0	0	0	0	0	0	0	0
84745	1998	0	0	0	0	2192	0	0	0
84749	1998	0	0	0	0	0	0	0	0
84180	1998	0	0	1	0	0	0	0	0
84069	1998	0	0	0	0	95	0	0	0
84068	1998	4	0	2	4	0	0	0	0
84184	1998	0	0	0	0	0	0	0	0
84063	1998	0	0	0	0	78	0	0	0
84189	1998	0	0	0	0	0	0	0	0
84061	1998	0	0	0	0	778	0	0	0
84060	1998	3	0	8	3	4522	0	0	0
84067	1998	2	1	7	3	25996	0	0	0
84066	1998	2	1	6	3	6849	0	0	0
84065	1998	3	1	0	4	15094	0	0	0
84064	1998	0	1	2	1	682	0	0	0
84643	1998	0	0	0	0	0	0	0	0
84642	1998	0	0	0	0	3095	0	0	0
84640	1998	0	0	0	0	0	0	0	0
84647	1998	1	0	0	1	4979	0	0	0
84646	1998	0	0	0	0	0	0	0	0
84645	1998	0	0	0	0	838	0	0	0
84644	1998	0	0	0	0	0	0	0	0
84649	1998	0	0	0	0	0	0	0	0
84648	1998	3	0	5	3	4188	0	0	0
84244	1998	0	0	0	0	0	0	0	0
84414	1998	3	0	7	3	15457	0	0	0
84415	1998	0	0	0	0	0	0	0	0
84412	1998	0	0	0	0	0	0	0	0
84144	1998	0	0	0	0	0	0	0	0
84145	1998	0	0	0	0	0	0	0	0
84147	1998	0	0	2	0	0	0	0	0
84141	1998	0	0	0	0	0	0	0	0
84029	1998	1	0	0	1	4697	0	0	0
84028	1998	0	0	0	0	254	0	0	0
84027	1998	0	0	1	0	0	0	0	0
84026	1998	1	0	1	1	1633	0	0	0
84025	1998	5	1	2	6	9494	0	0	0
84024	1998	0	0	0	0	0	0	0	0
84023	1998	0	0	0	0	174	0	0	0
84022	1998	0	0	1	0	1871	0	0	0
84021	1998	0	1	0	1	770	0	0	0
